Filename,YMD,Start_time,End_time,id,Degree,Coeff,null
SVDNB_npp_d20220716_t1804244_e1805485_b55535_c20220717002433222842_oeac_ops.h5,20220716,t1804244,e1805485,b55535_c20220717002433222842,3,-2.127e-05; 0.043241; -28.2729;,0
SVDNB_npp_d20220716_t1805498_e1807139_b55535_c20220716192959166183_oeac_ops.h5,20220716,t1805498,e1807139,b55535_c20220716192959166183,3,0; 0; 0;,0
SVDNB_npp_d20220717_t1745287_e1746529_b55549_c20220717191044993662_oeac_ops.h5,20220717,t1745287,e1746529,b55549_c20220717191044993662,3,-0.0002695; 0.31646; -122.7544;,0
SVDNB_npp_d20220717_t1746541_e1748183_b55549_c20220717230718517492_oeac_ops.h5,20220717,t1746541,e1748183,b55549_c20220717230718517492,3,2.7334e-06; -0.0012104; 0.91319;,0
SVDNB_npp_d20220716_t1110275_e1111517_b55531_c20220716123932136547_oeac_ops.h5,20220716,t1110275,e1111517,b55531_c20220716123932136547,3,0; 0; 0;,0
SVDNB_npp_d20220716_t1111529_e1113171_b55531_c20220716161245682397_oeac_ops.h5,20220716,t1111529,e1113171,b55531_c20220716161245682397,3,0; 0; 0;,0
SVDNB_npp_d20220716_t1251277_e1252519_b55532_c20220716181357981383_oeac_ops.h5,20220716,t1251277,e1252519,b55532_c20220716181357981383,3,1.3695e-05; -0.030876; 24.1387;,0
SVDNB_npp_d20220716_t1252531_e1254173_b55532_c20220716181357981383_oeac_ops.h5,20220716,t1252531,e1254173,b55532_c20220716181357981383,3,-2.2098e-05; 0.038316; -21.2774;,0
SVDNB_npp_d20220717_t1232321_e1233563_b55546_c20220717140055978578_oeac_ops.h5,20220717,t1232321,e1233563,b55546_c20220717140055978578,3,-3.2024e-06; 0.0061741; -2.6979;,0
SVDNB_npp_d20220717_t1233575_e1235217_b55546_c20220717174127667930_oeac_ops.h5,20220717,t1233575,e1235217,b55546_c20220717174127667930,3,3.0227e-06; -0.0045766; 2.7922;,0
SVDNB_npp_d20220716_t1111529_e1113171_b55531_c20220716161245682397_oeac_ops.h5,20220716,t1111529,e1113171,b55531_c20220716161245682397,3,0; 0; 0;,0
SVDNB_npp_d20220716_t1251277_e1252519_b55532_c20220716181357981383_oeac_ops.h5,20220716,t1251277,e1252519,b55532_c20220716181357981383,3,1.3695e-05; -0.030876; 24.1387;,0
SVDNB_npp_d20220716_t1252531_e1254173_b55532_c20220716181357981383_oeac_ops.h5,20220716,t1252531,e1254173,b55532_c20220716181357981383,3,-2.2098e-05; 0.038316; -21.2774;,0
SVDNB_npp_d20220708_t1028229_e1029471_b55417_c20220708155646366494_oeac_ops.h5,20220708,t1028229,e1029471,b55417_c20220708155646366494,3,3.9552e-08; -0.00019662; 0.29122;,0
SVDNB_npp_d20220708_t1200507_e1202149_b55418_c20220708171941672567_oeac_ops.h5,20220708,t1200507,e1202149,b55418_c20220708171941672567,3,8.0912e-08; -0.00030136; 0.39485;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708171941672567_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708171941672567,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220709_t1141551_e1143192_b55432_c20220709170301335227_oeac_ops.h5,20220709,t1141551,e1143192,b55432_c20220709170301335227,3,6.674e-08; -0.00028212; 0.38669;,0
SVDNB_npp_d20220709_t1143205_e1144446_b55432_c20220709170301335227_oeac_ops.h5,20220709,t1143205,e1144446,b55432_c20220709170301335227,3,2.2605e-08; -0.00021089; 0.39285;,0
SVDNB_npp_d20220709_t1322552_e1324194_b55433_c20220709184404244872_oeac_ops.h5,20220709,t1322552,e1324194,b55433_c20220709184404244872,3,7.9167e-08; -0.00029159; 0.39306;,0
SVDNB_npp_d20220708_t1028229_e1029471_b55417_c20220708155646366494_oeac_ops.h5,20220708,t1028229,e1029471,b55417_c20220708155646366494,3,3.9552e-08; -0.00019662; 0.29122;,0
SVDNB_npp_d20220708_t1200507_e1202149_b55418_c20220708171941672567_oeac_ops.h5,20220708,t1200507,e1202149,b55418_c20220708171941672567,3,8.0912e-08; -0.00030136; 0.39485;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708171941672567_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708171941672567,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220709_t1141551_e1143192_b55432_c20220709170301335227_oeac_ops.h5,20220709,t1141551,e1143192,b55432_c20220709170301335227,3,6.674e-08; -0.00028212; 0.38669;,0
SVDNB_npp_d20220709_t1143205_e1144446_b55432_c20220709170301335227_oeac_ops.h5,20220709,t1143205,e1144446,b55432_c20220709170301335227,3,2.2605e-08; -0.00021089; 0.39285;,0
SVDNB_npp_d20220709_t1322552_e1324194_b55433_c20220709184404244872_oeac_ops.h5,20220709,t1322552,e1324194,b55433_c20220709184404244872,3,7.9167e-08; -0.00029159; 0.39306;,0
SVDNB_npp_d20220713_t1207127_e1208369_b55489_c20220713171324704130_oeac_ops.h5,20220713,t1207127,e1208369,b55489_c20220713171324704130,3,-6.478e-05; 0.20303; -210.1189;,0
SVDNB_npp_d20220713_t1208381_e1210023_b55489_c20220713133555973346_oeac_ops.h5,20220713,t1208381,e1210023,b55489_c20220713133555973346,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1148188_e1149412_b55503_c20220714131719705091_oeac_ops.h5,20220714,t1148188,e1149412,b55503_c20220714131719705091,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1149424_e1151066_b55503_c20220714131717759183_oeac_ops.h5,20220714,t1149424,e1151066,b55503_c20220714131717759183,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1329172_e1330414_b55504_c20220714185134641152_oeac_ops.h5,20220714,t1329172,e1330414,b55504_c20220714185134641152,3,-0.0055932; 12.4437; -9221.5868;,0
SVDNB_npp_d20220714_t1330426_e1332068_b55504_c20220714185134641152_oeac_ops.h5,20220714,t1330426,e1332068,b55504_c20220714185134641152,3,-0.00010138; 0.24416; -192.7189;,0
SVDNB_npp_d20220715_t1129232_e1130473_b55517_c20220715164114738619_oeac_ops.h5,20220715,t1129232,e1130473,b55517_c20220715164114738619,3,0; 0; 0;,0
SVDNB_npp_d20220715_t1130486_e1132128_b55517_c20220715125833178148_oeac_ops.h5,20220715,t1130486,e1132128,b55517_c20220715125833178148,3,0; 0; 0;,0
SVDNB_npp_d20220715_t1310216_e1311458_b55518_c20220715181055155288_oeac_ops.h5,20220715,t1310216,e1311458,b55518_c20220715181055155288,3,-0.00013263; 0.28775; -206.4194;,0
SVDNB_npp_d20220715_t1311470_e1313112_b55518_c20220715143853758214_oeac_ops.h5,20220715,t1311470,e1313112,b55518_c20220715143853758214,3,5.0644e-05; -0.11051; 80.0322;,0
SVDNB_npp_d20220716_t1110275_e1111517_b55531_c20220716123932136547_oeac_ops.h5,20220716,t1110275,e1111517,b55531_c20220716123932136547,3,0; 0; 0;,0
SVDNB_npp_d20220716_t1111529_e1113171_b55531_c20220716161245682397_oeac_ops.h5,20220716,t1111529,e1113171,b55531_c20220716161245682397,3,0; 0; 0;,0
SVDNB_npp_d20220716_t1251277_e1252519_b55532_c20220716181357981383_oeac_ops.h5,20220716,t1251277,e1252519,b55532_c20220716181357981383,3,1.3973e-05; -0.031108; 24.0811;,0
SVDNB_npp_d20220716_t1252531_e1254173_b55532_c20220716181357981383_oeac_ops.h5,20220716,t1252531,e1254173,b55532_c20220716181357981383,3,-2.215e-05; 0.038582; -21.5636;,0
SVDNB_npp_d20220717_t1232321_e1233563_b55546_c20220717140055978578_oeac_ops.h5,20220717,t1232321,e1233563,b55546_c20220717140055978578,3,0.00019493; -0.43543; 324.7151;,0
SVDNB_npp_d20220717_t1233575_e1235217_b55546_c20220717174127667930_oeac_ops.h5,20220717,t1233575,e1235217,b55546_c20220717174127667930,3,-9.4361e-06; 0.014411; -6.6562;,0
SVDNB_npp_d20220718_t1213364_e1215006_b55560_c20220718134048844372_oeac_ops.h5,20220718,t1213364,e1215006,b55560_c20220718134048844372,3,-2.2397e-07; 0.00048261; 0.27483;,0
SVDNB_npp_d20220718_t1215018_e1216260_b55560_c20220718134047337905_oeac_ops.h5,20220718,t1215018,e1216260,b55560_c20220718134047337905,3,-9.6822e-07; 0.0007082; 0.24313;,0
SVDNB_npp_d20220713_t1207127_e1208369_b55489_c20220713171324704130_oeac_ops.h5,20220713,t1207127,e1208369,b55489_c20220713171324704130,3,-6.478e-05; 0.20303; -210.1189;,0
SVDNB_npp_d20220713_t1208381_e1210023_b55489_c20220713133555973346_oeac_ops.h5,20220713,t1208381,e1210023,b55489_c20220713133555973346,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1148188_e1149412_b55503_c20220714131719705091_oeac_ops.h5,20220714,t1148188,e1149412,b55503_c20220714131719705091,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1149424_e1151066_b55503_c20220714131717759183_oeac_ops.h5,20220714,t1149424,e1151066,b55503_c20220714131717759183,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1329172_e1330414_b55504_c20220714185134641152_oeac_ops.h5,20220714,t1329172,e1330414,b55504_c20220714185134641152,3,-0.0055932; 12.4437; -9221.5868;,0
SVDNB_npp_d20220714_t1330426_e1332068_b55504_c20220714185134641152_oeac_ops.h5,20220714,t1330426,e1332068,b55504_c20220714185134641152,3,-0.00010138; 0.24416; -192.7189;,0
SVDNB_npp_d20220715_t1129232_e1130473_b55517_c20220715164114738619_oeac_ops.h5,20220715,t1129232,e1130473,b55517_c20220715164114738619,3,0; 0; 0;,0
SVDNB_npp_d20220715_t1130486_e1132128_b55517_c20220715125833178148_oeac_ops.h5,20220715,t1130486,e1132128,b55517_c20220715125833178148,3,0; 0; 0;,0
SVDNB_npp_d20220715_t1310216_e1311458_b55518_c20220715181055155288_oeac_ops.h5,20220715,t1310216,e1311458,b55518_c20220715181055155288,3,-0.00013263; 0.28775; -206.4194;,0
SVDNB_npp_d20220715_t1311470_e1313112_b55518_c20220715143853758214_oeac_ops.h5,20220715,t1311470,e1313112,b55518_c20220715143853758214,3,5.0644e-05; -0.11051; 80.0322;,0
SVDNB_npp_d20220716_t1110275_e1111517_b55531_c20220716123932136547_oeac_ops.h5,20220716,t1110275,e1111517,b55531_c20220716123932136547,3,0; 0; 0;,0
SVDNB_npp_d20220716_t1111529_e1113171_b55531_c20220716161245682397_oeac_ops.h5,20220716,t1111529,e1113171,b55531_c20220716161245682397,3,0; 0; 0;,0
SVDNB_npp_d20220715_t1129232_e1130473_b55517_c20220715164114738619_oeac_ops.h5,20220715,t1129232,e1130473,b55517_c20220715164114738619,3,1.7041e-07; -0.00012202; 0.93273;,0
SVDNB_npp_d20220715_t1130486_e1132128_b55517_c20220715125833178148_oeac_ops.h5,20220715,t1130486,e1132128,b55517_c20220715125833178148,3,1.4833e-06; -0.0023253; 2.674;,0
SVDNB_npp_d20220715_t1310216_e1311458_b55518_c20220715181055155288_oeac_ops.h5,20220715,t1310216,e1311458,b55518_c20220715181055155288,3,-5.4247e-07; 0.00084998; 1.0415;,0
SVDNB_npp_d20220715_t1311470_e1313112_b55518_c20220715143853758214_oeac_ops.h5,20220715,t1311470,e1313112,b55518_c20220715143853758214,3,-3.2236e-08; -0.00050655; 1.9632;,0
SVDNB_npp_d20220716_t1110275_e1111517_b55531_c20220716123932136547_oeac_ops.h5,20220716,t1110275,e1111517,b55531_c20220716123932136547,3,1.0771e-07; 8.3647e-05; 0.62803;,0
SVDNB_npp_d20220716_t1111529_e1113171_b55531_c20220716161245682397_oeac_ops.h5,20220716,t1111529,e1113171,b55531_c20220716161245682397,3,-4.8749e-07; 0.0013523; 0.78445;,0
SVDNB_npp_d20220716_t1251277_e1252519_b55532_c20220716181357981383_oeac_ops.h5,20220716,t1251277,e1252519,b55532_c20220716181357981383,3,1.3973e-05; -0.031108; 24.0811;,0
SVDNB_npp_d20220716_t1252531_e1254173_b55532_c20220716181357981383_oeac_ops.h5,20220716,t1252531,e1254173,b55532_c20220716181357981383,3,-2.215e-05; 0.038582; -21.5636;,0
SVDNB_npp_d20220717_t1232321_e1233563_b55546_c20220717140055978578_oeac_ops.h5,20220717,t1232321,e1233563,b55546_c20220717140055978578,3,0.00019493; -0.43543; 324.7151;,0
SVDNB_npp_d20220717_t1233575_e1235217_b55546_c20220717174127667930_oeac_ops.h5,20220717,t1233575,e1235217,b55546_c20220717174127667930,3,-9.4361e-06; 0.014411; -6.6562;,0
SVDNB_npp_d20220718_t1213364_e1215006_b55560_c20220718134048844372_oeac_ops.h5,20220718,t1213364,e1215006,b55560_c20220718134048844372,3,-2.2397e-07; 0.00048261; 0.27483;,0
SVDNB_npp_d20220718_t1215018_e1216260_b55560_c20220718134047337905_oeac_ops.h5,20220718,t1215018,e1216260,b55560_c20220718134047337905,3,-9.6822e-07; 0.0007082; 0.24313;,0
SVDNB_npp_d20220713_t1207127_e1208369_b55489_c20220713171324704130_oeac_ops.h5,20220713,t1207127,e1208369,b55489_c20220713171324704130,3,-6.478e-05; 0.20303; -210.1189;,0
SVDNB_npp_d20220713_t1208381_e1210023_b55489_c20220713133555973346_oeac_ops.h5,20220713,t1208381,e1210023,b55489_c20220713133555973346,3,0; 0; 0;,0
SVDNB_npp_d20220713_t1720111_e1721353_b55492_c20220713223140283596_oeac_ops.h5,20220713,t1720111,e1721353,b55492_c20220713223140283596,3,0; 0; 0;,0
SVDNB_npp_d20220713_t1721365_e1722589_b55492_c20220713184501198229_oeac_ops.h5,20220713,t1721365,e1722589,b55492_c20220713184501198229,3,0; 0; 0;,0
SVDNB_npp_d20220713_t1901095_e1902337_b55493_c20220714001425080341_oeac_ops.h5,20220713,t1901095,e1902337,b55493_c20220714001425080341,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1148188_e1149412_b55503_c20220714131719705091_oeac_ops.h5,20220714,t1148188,e1149412,b55503_c20220714131719705091,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1149424_e1151066_b55503_c20220714131717759183_oeac_ops.h5,20220714,t1149424,e1151066,b55503_c20220714131717759183,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1329172_e1330414_b55504_c20220714185134641152_oeac_ops.h5,20220714,t1329172,e1330414,b55504_c20220714185134641152,3,-0.0055932; 12.4437; -9221.5868;,0
SVDNB_npp_d20220714_t1330426_e1332068_b55504_c20220714185134641152_oeac_ops.h5,20220714,t1330426,e1332068,b55504_c20220714185134641152,3,-0.00010138; 0.24416; -192.7189;,0
SVDNB_npp_d20220714_t1701154_e1702396_b55506_c20220714182601090612_oeac_ops.h5,20220714,t1701154,e1702396,b55506_c20220714182601090612,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1702409_e1704050_b55506_c20220714182603714171_oeac_ops.h5,20220714,t1702409,e1704050,b55506_c20220714182603714171,3,0; 0; 0;,0
SVDNB_npp_d20220714_t1842156_e1843380_b55507_c20220715000044521749_oeac_ops.h5,20220714,t1842156,e1843380,b55507_c20220715000044521749,3,0; 0; 0;,0
SVDNB_npp_d20220715_t1129232_e1130473_b55517_c20220715164114738619_oeac_ops.h5,20220715,t1129232,e1130473,b55517_c20220715164114738619,3,0; 0; 0;,0
SVDNB_npp_d20220715_t1130486_e1132128_b55517_c20220715125833178148_oeac_ops.h5,20220715,t1130486,e1132128,b55517_c20220715125833178148,3,0; 0; 0;,0
SVDNB_npp_d20220715_t1310216_e1311458_b55518_c20220715181055155288_oeac_ops.h5,20220715,t1310216,e1311458,b55518_c20220715181055155288,3,-0.00013263; 0.28775; -206.4194;,0
SVDNB_npp_d20220715_t1311470_e1313112_b55518_c20220715143853758214_oeac_ops.h5,20220715,t1311470,e1313112,b55518_c20220715143853758214,3,5.0644e-05; -0.11051; 80.0322;,0
SVDNB_npp_d20220715_t1823200_e1824442_b55521_c20220715234350432672_oeac_ops.h5,20220715,t1823200,e1824442,b55521_c20220715234350432672,3,0.010464; -31.9711; 32021.9569;,0
SVDNB_npp_d20220715_t1824454_e1826096_b55521_c20220715194918993730_oeac_ops.h5,20220715,t1824454,e1826096,b55521_c20220715194918993730,3,-0.00048351; 1.3164; -1188.5118;,0
SVDNB_npp_d20220716_t1110275_e1111517_b55531_c20220716123932136547_oeac_ops.h5,20220716,t1110275,e1111517,b55531_c20220716123932136547,3,0; 0; 0;,0
SVDNB_npp_d20220716_t1111529_e1113171_b55531_c20220716161245682397_oeac_ops.h5,20220716,t1111529,e1113171,b55531_c20220716161245682397,3,0; 0; 0;,0
SVDNB_npp_d20220716_t1251277_e1252519_b55532_c20220716181357981383_oeac_ops.h5,20220716,t1251277,e1252519,b55532_c20220716181357981383,3,1.3973e-05; -0.031108; 24.0811;,0
SVDNB_npp_d20220716_t1252531_e1254173_b55532_c20220716181357981383_oeac_ops.h5,20220716,t1252531,e1254173,b55532_c20220716181357981383,3,-2.215e-05; 0.038582; -21.5636;,0
SVDNB_npp_d20220716_t1804244_e1805485_b55535_c20220717002433222842_oeac_ops.h5,20220716,t1804244,e1805485,b55535_c20220717002433222842,3,-2.664e-05; 0.055598; -37.6773;,0
SVDNB_npp_d20220716_t1805498_e1807139_b55535_c20220716192959166183_oeac_ops.h5,20220716,t1805498,e1807139,b55535_c20220716192959166183,3,0; 0; 0;,0
SVDNB_npp_d20220713_t1207127_e1208369_b55489_c20220713171324704130_oeac_ops.h5,20220713,t1207127,e1208369,b55489_c20220713171324704130,3,-6.478e-05; 0.20303; -210.1189;,0
SVDNB_npp_d20220713_t1208381_e1210023_b55489_c20220713133555973346_oeac_ops.h5,20220713,t1208381,e1210023,b55489_c20220713133555973346,3,0; 0; 0;,0
